FromPhoneNumber|ToPhoneNumber|CallStartTime|CallEndTime|STDFlag|CallerState|CallerCity|CallerAreaCode
9665128505|8983006310|2015-03-01 10:08:10|2015-03-01 10:30:15|1|KA|BENGALURU|560076
9665128505|8983006310|2015-03-01 10:08:10|2015-03-01 11:12:15|0|KA|BENGALURU|560076
9777728505|8983006310|2015-03-01 10:08:10|2015-03-01 13:12:15|0|KA|HOSUR|635126
9665128505|8983006310|2015-03-01 09:08:10|2015-03-01 09:12:15|1|KA|BENGALURU|560076
9665128505|8983006310|2015-03-01 10:08:10|2015-03-01 12:12:15|1|KA|BENGALURU|560065
8865128505|8983006310|2015-03-01 10:08:10|2015-03-01 11:12:15|0|MH|MUMBAI|400017
8665128507|8983006310|2015-03-01 10:08:10|2015-03-01 10:12:15|0|MH|KOLHAPUR|416119
8665128507|8983006310|2015-03-01 11:08:10|2015-03-01 12:12:15|0|AN|PORTBLAIR|744101
7765128506|8983006310|2015-03-01 12:08:10|2015-03-01 15:12:15|1|MP|BHOPAL|462023
7765128506|8983006310|2015-03-01 13:08:10|2015-03-01 14:12:15|1|MP|BHOPAL|462010
7788128506|8983006310|2015-03-01 14:08:10|2015-03-01 19:12:15|1|MP|JABALPUR|482003
6665128507|8983006310|2015-03-01 15:08:10|2015-03-01 18:12:15|1|AP|HYDARABAD|500028
6665128507|8983006310|2015-03-01 16:08:10|2015-03-01 23:12:15|1|AP|VIJAYNAGAR|560040
